Presentation Title,Code,Reason
06. Building Communication Frameworks for Intercultural Transformations: Revisiting Core Theories and Researching Current Intercultural Scenes,1,"The title focuses on building communication frameworks for intercultural transformations and revisiting theories, without explicitly referencing race or racial identity."
The Mixed Message: A Theoretic Analysis of Bi-Cultural Identities,1,"The title discusses ""bi-cultural identities,"" which implicitly involves issues of race, ethnicity, and identity, making it race-related."
Organ Donation Intentions: The Effects of Message Describing Specific vs. General Benefits,0,"The title focuses on organ donation intentions and the effects of message framing, without referencing race, racial identity, or related issues."
Virtually Asian: Joi as the (Idea)lized (Non-)Asian Woman in Blade Runner 2049,1,"The title discusses ""Asian"" identity and the portrayal of an ""Asian woman"" in a film, which involves race and racial identity."
Relationship Cultivation and Congressional Races: Applying Relationship Management Theory to Campaign Websites,0,"The title focuses on relationship cultivation in the context of congressional races and campaign websites, without referencing race or racial identity."
"A Critical Exploration of South Asian American Discourses in American Kahani: The Complexities of Identity, Solidarity, and Allyship",1,"The title explicitly references ""South Asian American"" and explores identity, solidarity, and allyship, all of which are related to race and ethnicity."
Priya’s Shakti: The Power of the Comic Book in Global Discourses of Social Justice,0,"The title focuses on the comic book ""Priya’s Shakti"" and its role in social justice discourses, without directly referencing race, racial identity, or related issues."
The Strong Black Woman Collective Theory: Using Multilevel Modeling to Test the Outcomes of Strength Regulation for Groups of Black Women Friends,1,"The title explicitly references ""Black women"" and discusses a theory related to race, identity, and group dynamics in the context of strength regulation."
“Is This About Abortion?” Or “Why I Keep Telling My Stillbirth Story”,0,The title focuses on abortion and stillbirth without mentioning race or racial context.
Gendered Discourses on Stability and Change: Women Communicating Wisdom,0,The title focuses on gender and communication without mentioning race or racial context.
Against All Odds: Understanding the Framing of Underdog Narratives in News Articles,0,The title discusses underdog narratives in news without explicitly mentioning race or racial context.
"Raceless, Casteless ""Unity in Diversity: Indias Ideological Articulation of National Identity",1,"The title discusses national identity with references to race (""Raceless"") and caste, which relate to systemic inequality and power structures."
The Freedom (or Lack Thereof) of Black Women Journalists to Wear Their Natural/Textured Hair While on Air,1,"The title explicitly mentions Black women, a racial group, and addresses discrimination based on hair, which relates to racism and racial inequality."
10. My Favorite Media: (Lack of) Diversity in Media Production,0,The title mentions diversity but does not explicitly reference race or racial groups.
19. Poetics of Change: Autoethnographic Fragments from a Relationship in Recovery,0,The title focuses on personal recovery and relationships without mentioning race or racial context.
Honoring African Knowledge Forms: Resilience and the Communicative Dynamics of Informal Sector Organizing,1,"The title explicitly mentions African knowledge and resilience, relating to race and racial identity."
Fortifying Intercultural Health Communication: Locating the 'Twilight Zone' Context in Subaltern Narratives of Health,0,The title focuses on intercultural health communication and subaltern narratives without explicitly referencing race or racial identity.
Can Black and White Women Create a Connection?: An Assessment of Communication Apprehension and Receiver Apprehension of Black Women in Mixed-Race Contexts,1,"The title explicitly mentions Black women and discusses communication dynamics in mixed-race contexts, which directly relate to race."
The Hills Are Not for Sale: The Supreme Courts Representation of the Sioux in the Black Hills Dispute,1,"The title references the Sioux, a specific Indigenous racial group, and addresses issues related to representation and racial identity in the context of a legal dispute."
Superior-Subordinate Relationships: African American Men Discuss Gender and the Health of Their Relationships with Bosses,1,The title explicitly mentions African American men and discusses racial identity in the context of power dynamics in workplace relationships.
A Media Framing Analysis of Attachment Parenting in Popular U.S. Newspapers,0,The title focuses on media framing of parenting without explicitly mentioning race or racial context.
“You just can’t trust them”: Exploring the memorable messages Costa Rican natives recall about race,1,"The title explicitly discusses race and the messages Costa Rican natives recall about race, directly addressing racial issues."
Television and Cultural Translation in Romania,0,The title focuses on cultural translation in Romania without mentioning race or racial context.
"""lntersectionality, Coalitional Politics, and Ephemerality in the Gay Dealer: The Rage of Philadelphia",0,"The title mentions intersectionality, but it focuses more on coalitional politics and the concept of ephemerality in a specific context, without explicitly referencing race, suggesting it may not be directly race-related."
"03. Black College Millennial Concerns: The Voice of a ""Post Racial-era""",1,"The title explicitly mentions ""Black College"" and addresses concerns related to racial identity in the context of a ""Post Racial-era."""
African-American Interactions from the 'Horn of Africa',1,"The title explicitly mentions ""African-American"" and refers to a specific racial group in the context of interactions from the ""Horn of Africa."""
Documentary Film as Evidence: The Rhetoric of Representation,0,The title focuses on documentary film and representation without mentioning race or racial context.
"Communicating the Relevance, Influence, and Collaborative Efforts of ASL",0,"The title discusses American Sign Language (ASL) and its relevance, influence, and collaboration, but does not mention race or racial issues."
"Political Remix Video, Digital Argument, and the New Public Sphere",0,The title focuses on digital argument and political remix video without mentioning race or racial issues.
"Shaming in Judaism: Past, Present, Future",0,"The title focuses on shaming within the context of Judaism, which pertains to religion, not race."
Envious Prejudice as An Obstacle to Cooperative Communication Between Asians and Asian Americans**,1,"The title explicitly mentions ""Asians"" and ""Asian Americans,"" addressing racial prejudice and communication obstacles between these groups."
When Time and Self Unhinge: Tracing the Rhetorical Markers of Solitary Confinement,0,"The title focuses on solitary confinement and rhetorical analysis, without mentioning race or racial issues."
"Educating for Global Citizenship with Hostelling-International-USA: Systems, Voices, and Intercultural Communities",0,"The title focuses on global citizenship, intercultural communities, and hostelling without explicitly mentioning race or racial issues."
Emotional Responses to and Acceptance of Rape Myths by College Students,0,The title focuses on rape myths and college students without explicitly mentioning race or racial issues.
"Aggravating Circumstances: Intersections of Race, Gender and Sexuality in United States Capital Jurisprudence",1,The title explicitly mentions race and its intersection with gender and sexuality in U.S. capital jurisprudence.
Framing Gang Rape in 'Rough Town:' Diverse Voices in Gender Violence News Online,0,The title focuses on gender violence and diverse voices in news without explicitly mentioning race or racial issues.
Digital Standpoints: Debating gendered violence and racial exclusions in the feminist counterpublic,1,The title explicitly mentions racial exclusions in the context of gendered violence within the feminist counterpublic.
Narratives of 'Rape' and 'Not Rape': A False Dichotomy,0,The title focuses on the conceptualization of rape without explicitly mentioning race or racial issues.
Young People Are Willing to Intervene Against Rape Myths Online: A Simulated Social Media Experiment,0,The title focuses on young people's willingness to intervene against rape myths without explicitly mentioning race or racial issues.
Transforming Master Narratives of Rape and Sexual Assault in the Era of #MeToo: A Narrative Analysis of Untouchable: The Inside Story of the Harvey Weinstein Scandal,0,The title focuses on rape and sexual assault narratives in the context of #MeToo without explicitly mentioning race or racial issues.
Digital Violence and Misogynoir: Redefining Black Womanhood in the Aftermath of the Megan Thee Stallion Shooting,1,"The title explicitly mentions misogynoir and Black womanhood, addressing race and gender in the context of digital violence."
White Femininity and a Philosophy of Victimhood: The Case of Jessica Krug,1,"The title explicitly discusses white femininity and victimhood, focusing on racial identity and its implications in the context of Jessica Krug's case."
Translating Research on Sexual and Racial Violence for Uneasy Organizational Allies,1,"The title explicitly mentions racial violence, which falls under discussions of racism or racial inequality."
Shalabh Kumar Auditions for the 'Islamophobia Industry': Shifting Strategies in 'Yankee Hindutva',0,"The title focuses on Islamophobia and Hindutva, which are related to religion and political ideology rather than race."
"Black Muslim Suggestibility: The Case of Barry Walter Bujol, Jr.",1,"The title explicitly mentions ""Black Muslim,"" which includes a racial identity (Black) and falls under explicit mentions of race or racial identity."
In the Eye of the Beholder: Terror Management Theory and Reactions to Latinx and Muslim Immigrants in the U.S.,1,"The title explicitly mentions ""Latinx,"" which is a racial/ethnic group, and discusses immigration, which falls under intercultural relations in the context of race."
Watershed Moment or More of the Same?: A Measure of Violence and Valence in U.S. News Media Representations of Muslims Before and After the 9/11 Attacks,0,"The title focuses on media representations of Muslims, which pertains to religion rather than race."
Muslim Americans‚Äô Strategies to Cope with Negative Social Identity: Effects of Media Stereotypes and Identity Integration,0,"The title discusses Muslim identity and media stereotypes, which pertain to religion rather than race."
Preaching (American-Muslim) Style,0,"The title focuses on American-Muslim preaching, which pertains to religion rather than race."
The Official Other: State Department Representations of Muslims in America,0,"The title focuses on the representation of Muslims, which pertains to religion rather than race."
The Post 9/11 TV Images of Arab and Muslim Americans and the Anti-racist White Hero,1,"The title references ""Arab and Muslim Americans"" and discusses media representations, which involve race and racial identity."
Status of Muslims/Islam in Trump‚Äôs Rhetorical World: An Analysis of President Trump‚Äôs Tweets,0,"The title focuses on the rhetoric surrounding Muslims in the context of political discourse, which is more about religion and political ideology rather than race."
"Negotiating Faith, Identity, and Scholarship Amidst the Sanctioning of Anti-Muslim Racism",1,"The title explicitly mentions ""anti-Muslim racism,"" which involves racism and discrimination based on religion and racial identity."
Regulations of Queer Citizenship: Representing the Rural in Matthew Shepard¬ís Memory,0,"The title discusses queer citizenship and memory, focusing on sexual orientation and rural representation rather than race."
"(Mis)Labeling the Black, Queer, Middle-class, Post-heterosexual, Body: A Tale of Identity Negotiation and Intersectionality",1,"The title explicitly mentions ""Black"" and discusses identity negotiation and intersectionality, which includes racial identity."
Hypersexual and Emasculating: Black Femininity in The Ultimate Merger,1,"The title explicitly mentions ""Black femininity,"" which refers to a racial identity and discusses racial stereotypes."
Branding Beyond the Rainbow: An Exploration of Authentic Advertising for Gen Z's LGBTQ+ Community,0,"The title focuses on LGBTQ+ community advertising, which pertains to sexual orientation and identity rather than race."
Rethinking Critique: Resisting Disciplining Rhetorics Through a Queer and/or Women of Color Feminist Ethics,1,"The title references ""Women of Color"" and discusses intersectionality, which includes racial identity."
Nowhere to Belong: Seeking Queer-of-Color Worldmaking and Troubling the Homogenous Rhetoric of U.S. Gay Community,1,"The title explicitly mentions ""Queer-of-Color"" and discusses intersectionality, which involves both sexual orientation and racial identity."
Queering Justice: Transforming Carceral Feminisms in Anti-Rape Organizing,0,"The title focuses on carceral feminism and anti-rape organizing, which pertain to gender and justice rather than race."
"The Last Grip On Reality: What Is A Woman?"": An Analysis of Heterosexual ""Common Sense"" and Transphobic Rhetoric",0,"The title focuses on gender and transphobic rhetoric, which pertains to gender identity and sexual orientation rather than race."
Brown and Down: Alienation and Resistance in Memoirs of Queer Undocumented Migrants,1,"The title mentions ""Brown,"" which refers to a racial identity, and discusses the experiences of queer undocumented migrants, which involve racial and cultural dynamics."
"Zoe Nowak: Bridging Sound, Movement, and Visuals as a Transgender Artist",0,"The title focuses on transgender identity and artistic expression, which pertains to gender identity rather than race."
"Retrospect and Prospect in Barack Obama's Eulogy for the Reverend Clementa Pinckney, June 26, 2015",0,"The title focuses on the analysis of Barack Obama's eulogy, which is more about the rhetoric and context of the speech than a direct discussion of race."
The Barack Benefit? A Content Analysis of How News Coverage of America‚Äôs First African American Presidential Family Affects Coverage of African Americans in News,1,"The title explicitly mentions ""African American"" and discusses how news coverage of America's first African American presidential family affects coverage of African Americans in the media, which involves race and racial identity."
A Future of Endless Possibility: Shifting Rhetorical Styles and the Speeches of Barack Obama,0,"The title focuses on the rhetorical styles and speeches of Barack Obama, without explicitly addressing race or racial identity."
Voicing Ourselves: Interracial Friends Dialogue about President Barack Obama,1,"The title involves ""interracial"" dialogue, which explicitly references race and racial identity in the context of discussions about President Barack Obama."
Barack Obama‚Äôs Racial Reconciliation Hope: Coverage by Fox News and CNN,1,"The title explicitly discusses ""racial reconciliation"" in the context of Barack Obama, which involves race and racial identity."
Rednecks for Obama: Paving the Intersection between Intercultural and Political Communication,1,"The title references ""Rednecks for Obama,"" which involves an exploration of cultural identity and political alignment, touching on issues of race and racial dynamics."
A New Face in the Crowd:  Mediated Contestations of Barack Obama,0,"The title focuses on the mediated contestations of Barack Obama, which pertains to political and media representations rather than explicit discussions of race."
An Analysis of the Barack Obama-Jeremiah Wright Controversy: Reconsidering the Success of Obama¬ís a More Perfect Union Speech,0,"The title focuses on the political and rhetorical aspects of Barack Obama's speech and the controversy, without explicitly addressing race or racial identity in the primary context."
