text,label
"I hear leftists trying to reframe the riots situation as ""Trump starting a race war"" 
Its very misleading
We aren't seeing black people rise up and white people pushing back, we're seeing over-educated rich white kids steeped in Critical Race Theory attacking everyone",1
"The western world needs more critical thought and less critical race theory, if it is to have any chance of surviving this stupidity. She should be applauded!  Virginia teacher resigns over critical race theory in emotional speech https://t.co/VEAuTgqhYZ via @YouTube",1
"This episode is about Critical Race Theory, believe it or not. We discuss it as if language doesn't change. Find out why right here! @BooksmartSocial https://t.co/rB8McRM8vK",1
"Gov. Ron DeSantis on Thursday put his stamp on the debate over critical race theory by getting the Florida State Board of Education to pass a rule barring it from being taught in public schools.
https://t.co/c7Y2AEjvon",1
Deprivation Of Rights Under Color Of Law https://t.co/DhAeSDjCGP,1
Counterpoint: The real flaw in #CRT is that it's not revolutionary enough. #SystemicRacism is rooted in #capitalism itself.  https://t.co/XfowxyCfcX,1
"#precut 10""x10"" #CuddleCakes Maddening #Monochromatic #Minky- 20 pieces #minkyFabric #Fabric #Sewing #quilting NO longer sold from #Shannon don't miss out!  https://t.co/n3W3fS7NKp https://t.co/iwpU1tjIUP",0
"Teachers Union Head Denies Elementary Schools Push CRT, Vows To Defend ‘Anyone Teaching Honest History’
https://t.co/IX9ztT65XT",1
"""Florida bans its schools from teaching critical race theory""  https://t.co/PGE89BTqZe",1
"Alarm (highrise Residential) [North York]
Driveiftwood Avenue
b/w Cobbler Crescent / Driveiftwood Crt
Dispatched: 08/05/20 @ 00:46 EDT
[Stn: 142] Aerial-142 DistChief-14 Pumper-141 Pumper-143 Rescue-411
General Area:",0
You ever feel like a CRT tv 📺 https://t.co/kzbOQXJjML,0
"Trump Collectible Gift Figure, 3D Printed Hand Painted Plastic Figurine, USA President, Potus, Donald Trump Art Sculpture by Elgratex Check It Out #donaldtrump #plasticart #3dsculpture https://t.co/pdupSNffeK https://t.co/y9gKfmFev6",0
